,imdb_id,gt_labels,predicted_labels
48,tt0113627,"['romantic', 'dramatic', 'dark', 'atmospheric', 'depressing']",['romantic']
49,tt0113677,['romantic'],['romantic']
50,tt0113690,['violence'],['no pred']
51,tt0113729,['romantic'],['no pred']
52,tt0113749,"['romantic', 'comedy', 'humor', 'comic']","['violence', 'comedy']"
53,tt0113820,"['violence', 'action']","['violence', 'romantic', 'action']"
54,tt0113862,"['romantic', 'inspiring', 'feel-good']","['violence', 'suspenseful']"
55,tt0113967,"['violence', 'dark']",['violence']
56,tt0113986,"['romantic', 'comedy', 'humor']",['suspenseful']
57,tt0113987,['dramatic'],['romantic']
58,tt0114069,"['romantic', 'suspenseful']","['violence', 'comedy']"
59,tt0114148,['romantic'],['romantic']
60,tt0114168,['romantic'],['no pred']
61,tt0114287,"['violence', 'romantic', 'suspenseful', 'action', 'atmospheric']",['atmospheric']
62,tt0114319,"['romantic', 'fantasy', 'dramatic']",['no pred']
63,tt0114367,"['suspenseful', 'horror']",['violence']
64,tt0114436,['boring'],"['violence', 'comedy']"
65,tt0114550,['violence'],['no pred']
66,tt0114558,"['violence', 'dark']","['violence', 'atmospheric']"
67,tt0114576,"['violence', 'suspenseful', 'action']",['violence']
68,tt0114594,"['comedy', 'sadist']",['no pred']
69,tt0114609,['violence'],['violence']
70,tt0114614,"['violence', 'humor']",['violence']
71,tt0114660,"['violence', 'comedy']","['suspenseful', 'atmospheric']"
72,tt0114694,"['comedy', 'humor']",['comedy']
73,tt0114702,"['violence', 'romantic', 'sadist']",['no pred']
74,tt0114709,"['violence', 'comedy', 'humor', 'fantasy', 'cute']",['romantic']
75,tt0114746,"['violence', 'comedy', 'mystery', 'dramatic', 'dark', 'atmospheric', 'depressing']",['romantic']
76,tt0114781,"['violence', 'comedy', 'action']","['violence', 'comedy']"
77,tt0114787,"['romantic', 'comedy']",['romantic']
78,tt0114852,['violence'],['romantic']
79,tt0114857,"['violence', 'sadist']",['violence']
80,tt0114906,"['comedy', 'depressing']",['violence']
81,tt0114924,"['romantic', 'boring', 'cute', 'feel-good']",['violence']
82,tt0115438,"['violence', 'comedy', 'suspenseful']","['violence', 'comedy']"
83,tt0115639,"['violence', 'romantic', 'humor', 'atmospheric']",['romantic']
84,tt0115640,['feel-good'],['no pred']
85,tt0115641,['comedy'],"['violence', 'romantic', 'comedy']"
86,tt0115644,"['romantic', 'fantasy']","['violence', 'romantic']"
87,tt0115710,['romantic'],['comedy']
88,tt0115714,['violence'],"['violence', 'comedy']"
89,tt0115734,"['romantic', 'humor']","['romantic', 'comedy']"
90,tt0115744,['romantic'],['romantic']
91,tt0115886,"['violence', 'comedy']","['romantic', 'comedy']"
92,tt0115906,['dark'],"['violence', 'suspenseful']"
93,tt0115956,['violence'],['no pred']
94,tt0115964,"['violence', 'sadist', 'mystery']",['violence']
95,tt0116126,"['comedy', 'humor']","['violence', 'comedy']"
96,tt0116147,"['violence', 'suspenseful']","['violence', 'comedy']"
97,tt0116213,"['violence', 'action']","['violence', 'comedy']"
98,tt0116225,"['violence', 'humor', 'mystery']","['violence', 'comedy']"
99,tt0116253,"['violence', 'suspenseful', 'mystery']",['violence']
100,tt0116282,"['violence', 'comedy', 'boring', 'dark']",['romantic']
101,tt0116287,['violence'],['romantic']
102,tt0116289,['comedy'],['romantic']
103,tt0116311,['violence'],['romantic']
104,tt0116329,['inspiring'],['no pred']
105,tt0116361,"['violence', 'romantic', 'comedy', 'fantasy']",['romantic']
106,tt0116367,"['violence', 'comedy', 'humor', 'action', 'horror']",['romantic']
107,tt0116483,"['comedy', 'humor']",['romantic']
108,tt0116488,"['violence', 'romantic', 'comedy']",['romantic']
109,tt0116514,"['violence', 'sadist', 'horror']",['romantic']
110,tt0116531,['comedy'],['romantic']
111,tt0116571,['romantic'],['romantic']
112,tt0116607,['violence'],['romantic']
113,tt0116629,"['suspenseful', 'humor', 'action', 'mystery']",['romantic']
114,tt0116683,"['sadist', 'fantasy']","['violence', 'romantic']"
115,tt0116695,"['romantic', 'comedy', 'humor']",['romantic']
116,tt0116705,['comic'],"['romantic', 'comedy']"
